Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2WAB0B0l3rvZlpOB2ffdr2,"Guajira guantanamera","Gracias Compay (The Definitive Collection)","Compay Segundo",2003-08-25,312120,51,false,osorys,2021-09-20T20:27:59Z,"son cubano,jazz afro-cubain,jazz latino,bolero,mambo,salsa","WM Spain",0.763,0.602,9,-6.263,1,0.031,0.46,0.00000241,0.112,0.668,127.477,4
spotify:track:7nWuZNZbB4i4ikH6sioqll,"Piranha","Mr Bongo Record Club, Vol. 1","Alípio Martins",2016-09-16,171466,0,false,osorys,2021-09-20T20:38:53Z,"brega,seresta,tecno-brega,forró","Mr Bongo",0.706,0.903,6,-4.832,0,0.0441,0.0258,0,0.0578,0.936,116.954,4
spotify:track:30LuuTndVmwmQr6q1JMlPm,"7角：the1","七つの大罪 オリジナル・サウンドトラック","Sawano Hiroyuki",2014-12-24,291013,41,false,osorys,2021-09-20T21:44:41Z,"animé,b.o.","Aniplex Inc.",0.257,0.681,2,-11.74,1,0.0644,0.0031,0.918,0.285,0.158,90.999,4
spotify:track:3Co9QY7WBNKoS44Nsk93r6,"DOMINATION","DOMINATION","Kayzo;Sullivan King;Papa Roach",2021-04-16,168800,48,true,osorys,2021-09-23T19:25:09Z,"dubstep,deathstep,riddim,edm,nu metal,rap metal,metal alternatif,rap rock,rock","New Noize Records, Inc.",0.506,0.993,1,-1.343,1,0.207,0.000138,0.843,0.446,0.47,149.987,4
spotify:track:0hTrQoqDmFnA4S1PC265e1,"Fly Away","Fly Away","TheFatRat;Anjulie",2017-06-02,194267,69,false,osorys,2021-09-24T06:22:20Z,"","Universal Music AB",0.597,0.581,1,-4.565,0,0.0366,0.59,0.00000438,0.137,0.212,147.987,4
spotify:track:6inzGTxyGsXVjpVKtFGrcE,"Rise Up","Rise Up","TheFatRat",2019-10-25,169756,67,false,osorys,2021-09-24T06:26:21Z,"","Intercord",0.614,0.694,10,-5.713,0,0.0932,0.254,0.00000263,0.0733,0.578,163.942,4
spotify:track:3VvBPkc24zC7x05mgJTyGO,"Monody (feat. Laura Brehm)","Monody (feat. Laura Brehm)","TheFatRat;Laura Brehm",2015-11-07,290467,2,false,osorys,2021-09-24T06:36:29Z,"chillstep","Melofaktur UG (Haftungsbeschränkt)",0.526,0.69,1,-3.591,0,0.0351,0.114,0.00216,0.0969,0.224,106.993,4
spotify:track:7oOOI85fVQvVnK5ynNMdW7,"Rock with You - Single Version","Off the Wall","Michael Jackson",1979-08-10,219926,84,false,osorys,2021-09-24T17:03:26Z,"","Epic",0.808,0.535,1,-12.521,1,0.0353,0.179,0.0000991,0.158,0.848,114.031,4
spotify:track:6NGsHLZYGVAkXTFr75WWnn,"She's Out of My Life","Off the Wall","Michael Jackson",1979-08-10,218152,60,false,osorys,2021-09-24T17:09:20Z,"","Epic",0.293,0.0348,4,-23.92,1,0.0414,0.962,0.000212,0.105,0.101,130.959,4
spotify:track:2p5Hto8KF3EBez3XtO3NFM,"Moonlight Purpose","Moonlight Purpose","Freedom Fighters;Merkaba",2020-02-17,510679,40,false,osorys,2021-09-25T03:02:50Z,"psytrance,trance,trance progressive","Stereo Society",0.761,0.473,1,-13.048,1,0.0539,0.0431,0.871,0.0871,0.43,135,4
