Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0uUwuCT7fhXHOxgbn4rTL3,"Desire","Desire","OUTRAGE;Jetty Rachers;Hi3ND",2019-05-24,252264,20,false,osorys,2022-12-06T16:08:51Z,"big room","Glow Records",0.555,0.904,5,-4.313,0,0.0355,0.00248,0.842,0.355,0.146,127.961,4
spotify:track:6jzRTAJ1FBasSiwEylBnCq,"My Mother Told Me","My Mother Told Me","Dimatik;Und3rsound",2022-04-15,176000,43,false,osorys,2022-12-09T13:56:47Z,"melbourne bounce,hardstyle,psytrance","Cinematik Recordings",0.466,0.85,5,-3.985,0,0.0525,0.0039,0.000112,0.167,0.548,149.997,4
spotify:track:3bEpiGFnLy4ufim9JZtJYg,"Where I'll Be Waiting","Where I'll Be Waiting","Rich Edwards;Cozi Zuehlsdorff",2016-04-29,193433,41,false,osorys,2022-12-09T16:02:26Z,"house progressive","Monstercat",0.51,0.806,11,-3.042,0,0.0583,0.396,0,0.0918,0.219,127.915,4
spotify:track:5Hp4xFihdOE2dmDzxWcBFb,"All By Myself","All By Myself","Alok;Sigala;Ellie Goulding",2022-10-07,171750,65,false,osorys,2023-01-12T15:26:38Z,"brazilian bass,électronique,slap house,électro house","Columbia/B1 Recordings",0.618,0.863,0,-4.049,0,0.0409,0.0788,0,0.134,0.726,123.041,4
spotify:track:6wqQlP1GwzW7EfZCOHBNp7,"Behind","Behind","Stormerz",2021-07-16,162714,0,false,osorys,2023-01-19T17:18:28Z,"hardstyle,frenchcore","Basscon Records",0.413,0.876,4,-4.144,0,0.0366,0.000579,0.00405,0.0693,0.106,149.998,4
spotify:track:5exhxpK9Yl0x8gGIa2F7if,"The Fall","Two Hearts","Dabin",2017-03-31,170857,28,false,osorys,2023-03-11T21:44:52Z,"basse mélodique,future bass,edm,chillstep","Kannibalen Records",0.623,0.906,1,-6.322,0,0.043,0.00741,0.137,0.0943,0.189,104.993,4
spotify:track:4xrKo7ZQR9ccfyZ5ohS3YU,"Love Back On","Love Back On","Summer Was Fun;Emelie Cyréus",2017-07-17,211267,40,false,osorys,2023-03-13T19:00:24Z,"future bass,slap house","Monstercat",0.543,0.759,4,-5.276,0,0.21,0.21,0,0.0908,0.347,141.882,4
spotify:track:2wmQfaHp4zbqQkbf5nu5SF,"Why We Lose","Why We Lose","Cartoon;Jéja;Coleman Trapp",2015-06-11,197485,38,false,osorys,2023-03-19T18:43:40Z,"","NCS",0.424,0.919,4,-3.175,0,0.0428,0.00119,0.00994,0.329,0.102,174.982,4
spotify:track:6o0ydErgwVcTgYGtYFQiNc,"Love You Anyway","Love You Anyway","Voldex",2021-10-27,216000,21,false,osorys,2023-03-20T15:55:03Z,"happy hardcore","Diverge Music Group",0.473,0.932,4,-3.824,1,0.0445,0.000553,0.00388,0.362,0.322,150.115,4
spotify:track:2Q1tuFPDRH1lEZb4SUMzqJ,"Blackjack","Blackjack","Dimatik;LibeDime",2020-02-04,154285,41,false,osorys,2023-03-24T17:09:51Z,"melbourne bounce,hardstyle,psytrance,big room","Cinematik Recordings",0.554,0.996,7,-3.657,1,0.192,0.00251,0.0774,0.245,0.0984,140.01,4
