Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7FsRZOB1QPo6ZGJlGvCWz6,"Holding you, Holding me","X's","Cigarettes After Sex",2024-07-12,210213,69,false,osorys,2025-08-12T00:57:55Z,"dream pop","Partisan Records",0.62,0.465,5,-10.778,1,0.0311,0.48,0.895,0.113,0.599,114.005,4
spotify:track:5AESgkEOkftzxGqIgqR0bt,"Dark Vacay","X's","Cigarettes After Sex",2024-07-12,213413,67,false,osorys,2025-08-12T00:57:55Z,"dream pop","Partisan Records",0.591,0.339,9,-11.861,1,0.0298,0.559,0.937,0.109,0.269,126.553,4
spotify:track:3iGXWMpEPjRONz3v1Gba0Q,"Baby Blue Movie","X's","Cigarettes After Sex",2024-07-12,244733,64,false,osorys,2025-08-12T00:57:55Z,"dream pop","Partisan Records",0.596,0.615,8,-9.249,1,0.0344,0.344,0.796,0.13,0.535,105.012,4
spotify:track:1DZNsoWduUjm2o04R47rDk,"Hot","X's","Cigarettes After Sex",2024-07-12,237480,62,true,osorys,2025-08-12T00:57:55Z,"dream pop","Partisan Records",0.532,0.444,3,-12.204,1,0.0476,0.652,0.434,0.105,0.0905,152.274,4
spotify:track:720cFmiRJj0brle3kQ7nHH,"Dreams From Bunker Hill","X's","Cigarettes After Sex",2024-07-12,219226,71,false,osorys,2025-08-12T00:57:55Z,"dream pop","Partisan Records",0.54,0.342,7,-12.81,1,0.0306,0.635,0.703,0.0887,0.303,149.731,4
spotify:track:0hgNRFRxjlvPt3EEJrcQHE,"Ambien Slide","X's","Cigarettes After Sex",2024-07-12,213466,63,false,osorys,2025-08-12T00:57:55Z,"dream pop","Partisan Records",0.557,0.552,5,-10.606,1,0.044,0.416,0.849,0.103,0.333,79.987,4
spotify:track:3W7KHojYGgYaoX9ogKO9hU,"Nothing's Gonna Hurt You Baby","I.","Cigarettes After Sex",2012-07-21,286293,83,false,osorys,2025-08-12T00:58:21Z,"dream pop","Spanish Prayers",0.509,0.331,4,-14.083,1,0.0267,0.272,0.136,0.114,0.0957,96.848,4
spotify:track:2FW8dx8DPQjEBLOa3nIzNy,"I'm a Firefighter","I.","Cigarettes After Sex",2012-07-21,271018,66,false,osorys,2025-08-12T00:58:21Z,"dream pop","Spanish Prayers",0.376,0.3,7,-13.654,1,0.0331,0.465,0.0339,0.159,0.126,114.902,4
spotify:track:3hjWG1Wj0sXPXknoVTFCg6,"Dreaming of You","I.","Cigarettes After Sex",2012-07-21,322218,68,false,osorys,2025-08-12T00:58:21Z,"dream pop","Spanish Prayers",0.184,0.399,7,-14.904,1,0.0457,0.563,0.124,0.134,0.136,66.983,3
spotify:track:68Hj6boN4Yo2l7RZBnSpW0,"Starry Eyes","I.","Cigarettes After Sex",2012-07-21,206000,68,false,osorys,2025-08-12T00:58:21Z,"dream pop","Spanish Prayers",0.424,0.363,2,-15.32,1,0.0322,0.448,0.321,0.0685,0.12,100.431,4
spotify:track:769vrAYHcuLwOV0at2hiOf,"Affection","Affection","Cigarettes After Sex",2015-10-05,311000,68,true,osorys,2025-08-12T00:58:29Z,"dream pop","Spanish Prayers",0.408,0.415,7,-11.257,1,0.0248,0.503,0.906,0.105,0.275,89.801,4
spotify:track:3GUSidbQwd7xuvU6AQorRh,"Keep on Loving You","Affection","Cigarettes After Sex",2015-10-05,233000,71,false,osorys,2025-08-12T00:58:29Z,"dream pop","Spanish Prayers",0.455,0.37,2,-9.328,0,0.0247,0.533,0.959,0.111,0.125,73.683,4
spotify:track:0sz1wmBpB9gKh9zFV9YMFe,"Crush","Crush","Cigarettes After Sex",2018-07-10,266666,72,true,osorys,2025-08-12T01:01:02Z,"dream pop","Partisan Records",0.4,0.505,5,-8.575,1,0.0253,0.0869,0.793,0.112,0.285,97.534,4
spotify:track:6GcZ4pdtZgbf2ptgHG31bq,"Sesame Syrup","Crush","Cigarettes After Sex",2018-07-10,303296,72,false,osorys,2025-08-12T01:01:02Z,"dream pop","Partisan Records",0.238,0.412,4,-11.383,1,0.0302,0.0414,0.437,0.107,0.353,186.957,4
spotify:track:5r7QVaDpYeWMcbxxrkqb6H,"Neon Moon","Neon Moon","Cigarettes After Sex",2018-12-17,225767,68,false,osorys,2025-08-12T01:01:15Z,"dream pop","Spanish Prayers",0.48,0.488,4,-11.103,1,0.0245,0.099,0.0879,0.102,0.275,90.349,4
spotify:track:6fkq8wK3wZQoZ1pogOVAHa,"Falling In Love","Falling In Love","Cigarettes After Sex",2019-10-08,245840,47,false,osorys,2025-08-12T01:01:43Z,"dream pop","Partisan Records",0.476,0.266,7,-11.645,1,0.0264,0.72,0.0168,0.127,0.352,140.805,4
spotify:track:2cTvZSCqzjkTMkIypLxUFH,"You're All I Want","You're All I Want","Cigarettes After Sex",2020-05-13,264453,75,true,osorys,2025-08-12T01:01:53Z,"dream pop","Partisan Records",0.231,0.472,5,-10.94,1,0.0297,0.362,0.827,0.113,0.254,185.876,4
spotify:track:36pMQRacz9p99OevARrvVs,"Pistol","Pistol","Cigarettes After Sex",2022-11-15,234174,71,false,osorys,2025-08-12T01:02:02Z,"dream pop","Partisan Records",0.653,0.444,7,-11.749,1,0.0338,0.513,0.724,0.0954,0.348,109.975,4
spotify:track:63pJ7oTKKI9Bm9hyfCt9mx,"Bubblegum","Bubblegum","Cigarettes After Sex",2023-07-18,279133,65,false,osorys,2025-08-12T01:02:12Z,"dream pop","Partisan Records",0.518,0.2,2,-15.377,1,0.0328,0.534,0.815,0.106,0.118,119.681,4
spotify:track:5ZP8LfM7TezqoxF9yp6VzX,"Stop Waiting","Bubblegum","Cigarettes After Sex",2023-07-18,362973,72,false,osorys,2025-08-12T01:02:12Z,"dream pop","Partisan Records",0.456,0.336,2,-15.465,1,0.0265,0.327,0.798,0.0737,0.0766,87.439,4
spotify:local:::Synthphonia+Final:315,"Synthphonia Final","","",,315000,0,false,osorys,2026-02-07T16:39:54Z,"","undefined"
